Kad
Integration time [ms]: 150,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 317,76;   75,000;  257,000;    0,000;-182,00000
 317,78;   42,000;  126,000;    0,000;-84,00000
 317,80;  -91,000;    1,000;    0,000;-92,00000
 317,82;    7,000;  805,000;    0,000;-798,00000
 317,84;   39,000; -108,000;    0,000;147,00000
 317,86;  -27,000; -150,000;    0,000;123,00000
 317,88;  -51,000;  311,000;    0,000;-362,00000
 317,90;   48,000;   40,000;    0,000; 8,00000
 317,92;  -24,000; -277,000;    0,000;253,00000
 317,94;  147,000;  112,000;    0,000;35,00000
 317,96;  -21,000;   81,000;    0,000;-102,00000
 317,98;   20,000;  -43,000;    0,000;63,00000
 318,00;  -20,000; -338,000;    0,000;318,00000
 318,02;   63,000; -123,000;    0,000;186,00000
 318,04;  -54,000; -244,000;    0,000;190,00000
 318,05;  -53,000;  190,000;    0,000;-243,00000
 318,07;   90,000; -229,000;    0,000;319,00000
 318,09;  113,000;   23,000;    0,000;90,00000
 318,11;   74,000;  723,000;    0,000;-649,00000
 318,13;  -26,000;  340,000;    0,000;-366,00000
 318,15;   12,000;  105,000;    0,000;-93,00000
 318,17;  -88,000; -259,000;    0,000;171,00000
 318,19;   47,000;  154,000;    0,000;-107,00000
 318,21;   70,000;  117,000;    0,000;-47,00000
 318,23;   41,000; -120,000;    0,000;161,00000
 318,25; -125,000; -164,000;    0,000;39,00000
 318,27;   68,000;  367,000;    0,000;-299,00000
 318,29;  -61,000;  131,000;    0,000;-192,00000
 318,30;  -21,000; -147,000;    0,000;126,00000
 318,32;   24,000; -174,000;    0,000;198,00000
 318,34;   40,000;    4,000;    0,000;36,00000
 318,36;    1,000;  227,000;    0,000;-226,00000
 318,38;   46,000; -204,000;    0,000;250,00000
 318,40;   55,000;   74,000;    0,000;-19,00000
 318,42;   46,000;  179,000;    0,000;-133,00000
 318,44;   11,000;  136,000;    0,000;-125,00000
 318,46;  -81,000;  -66,000;    0,000;-15,00000
 318,48;  -20,000; -374,000;    0,000;354,00000
 318,50;  -64,000;   57,000;    0,000;-121,00000
