NA low IT
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31;   77,153;   77,153;    0,000; 0,00000
 291,48;    2,303;    2,303;    0,000; 0,00000
 291,65;  -52,744;  -52,744;    0,000; 0,00000
 291,82;   51,779;   51,779;    0,000; 0,00000
 291,99;   10,362;   10,362;    0,000; 0,00000
 292,16;  -38,949;  -38,949;    0,000; 0,00000
 292,33;  -30,349;  -30,349;    0,000; 0,00000
 292,50;  -12,956;  -12,956;    0,000; 0,00000
 292,66;  -12,174;  -12,174;    0,000; 0,00000
 292,83;    5,987;    5,987;    0,000; 0,00000
 293,00;  -95,047;  -95,047;    0,000; 0,00000
 293,17;   63,153;   63,153;    0,000; 0,00000
 293,34;   95,996;   95,996;    0,000; 0,00000
 293,51;   50,614;   50,614;    0,000; 0,00000
 293,68;  -69,876;  -69,876;    0,000; 0,00000
 293,85;  -21,680;  -21,680;    0,000; 0,00000
 294,01;   25,520;   25,520;    0,000; 0,00000
 294,18;   21,320;   21,320;    0,000; 0,00000
 294,35;   -0,502;   -0,502;    0,000; 0,00000
 294,52;  113,460;  113,460;    0,000; 0,00000
 294,69;  159,469;  159,469;    0,000; 0,00000
 294,86;   52,520;   52,520;    0,000; 0,00000
 295,03;    1,874;    1,874;    0,000; 0,00000
 295,20;   44,733;   44,733;    0,000; 0,00000
 295,36;   13,946;   13,946;    0,000; 0,00000
 295,53;   31,600;   31,600;    0,000; 0,00000
 295,70;  -23,208;  -23,208;    0,000; 0,00000
 295,87;    7,180;    7,180;    0,000; 0,00000
 296,04;   26,902;   26,902;    0,000; 0,00000
 296,21;  -14,429;  -14,429;    0,000; 0,00000
 296,38;  -69,020;  -69,020;    0,000; 0,00000
 296,55;   -7,310;   -7,310;    0,000; 0,00000
 296,71;   87,401;   87,401;    0,000; 0,00000
 296,88;  -19,118;  -19,118;    0,000; 0,00000
 297,05;  -69,319;  -69,319;    0,000; 0,00000
 297,22;   -1,177;   -1,177;    0,000; 0,00000
 297,39;  -40,007;  -40,007;    0,000; 0,00000
 297,56;    8,763;    8,763;    0,000; 0,00000
