NA High IT
Integration time [ms]: 2000,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804342U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,31; -158,361;  219,508;    0,000;-377,86903
 291,48;  -62,132;   68,365;    0,000;-130,49661
 291,65;  184,451;  -57,838;    0,000;242,28838
 291,82;  285,300;   89,389;    0,000;195,91082
 291,99;  -31,328;   82,268;    0,000;-113,59568
 292,16;    9,546;   -1,097;    0,000;10,64365
 292,33;  245,434;   29,482;    0,000;215,95170
 292,50;  102,008;  -68,648;    0,000;170,65647
 292,66;  -84,283;  110,491;    0,000;-194,77415
 292,83;  107,613;  159,899;    0,000;-52,28591
 293,00;  145,583;   34,098;    0,000;111,48498
 293,17;  272,639;  139,608;    0,000;133,03094
 293,34;   61,871;  134,700;    0,000;-72,82864
 293,51;  -20,006;   91,030;    0,000;-111,03595
 293,68;  118,456;   37,156;    0,000;81,30059
 293,85;  146,383;    2,366;    0,000;144,01794
 294,01; -111,560;    1,076;    0,000;-112,63608
 294,18; -115,617;  -46,434;    0,000;-69,18206
 294,35;  242,795;  -69,225;    0,000;312,02074
 294,52;  457,636;  164,273;    0,000;293,36298
 294,69;    5,893;  134,573;    0,000;-128,67973
 294,86;  -77,560;  184,176;    0,000;-261,73608
 295,03;   72,854;   98,643;    0,000;-25,78904
 295,20;  196,602;   33,736;    0,000;162,86591
 295,36;  -81,956;  157,547;    0,000;-239,50220
 295,53;  108,888;  161,080;    0,000;-52,19196
 295,70;  214,686;  -26,211;    0,000;240,89674
 295,87;  186,131;   61,458;    0,000;124,67289
 296,04;  143,036;  239,195;    0,000;-96,15868
 296,21; -174,014;   36,278;    0,000;-210,29242
 296,38; -147,925; -115,552;    0,000;-32,37310
 296,55;  114,594;  -88,216;    0,000;202,80943
 296,71;  -36,168;  291,370;    0,000;-327,53794
 296,88; -100,888;   44,843;    0,000;-145,73177
 297,05;  194,336;  -30,716;    0,000;225,05215
 297,22;  237,308;  -74,860;    0,000;312,16730
 297,39; -203,538;   91,849;    0,000;-295,38718
 297,56;  127,504;   58,037;    0,000;69,46637
 297,73;   29,767;   99,431;    0,000;-69,66412
