
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 317,76;   20,000;   20,000;    0,000; 0,00000
 317,78;  600,000;  600,000;    0,000; 0,00000
 317,80;    5,000;    5,000;    0,000; 0,00000
 317,82; 1142,000; 1142,000;    0,000; 0,00000
 317,84; -196,000; -196,000;    0,000; 0,00000
 317,86; -144,000; -144,000;    0,000; 0,00000
 317,88;  492,000;  492,000;    0,000; 0,00000
 317,90;  304,000;  304,000;    0,000; 0,00000
 317,92; -287,000; -287,000;    0,000; 0,00000
 317,94; -100,000; -100,000;    0,000; 0,00000
 317,96;  154,000;  154,000;    0,000; 0,00000
 317,98; -218,000; -218,000;    0,000; 0,00000
 318,00; -442,000; -442,000;    0,000; 0,00000
 318,02; -176,000; -176,000;    0,000; 0,00000
 318,04; -316,000; -316,000;    0,000; 0,00000
 318,05;  165,000;  165,000;    0,000; 0,00000
 318,07; -371,000; -371,000;    0,000; 0,00000
 318,09;  275,000;  275,000;    0,000; 0,00000
 318,11;  856,000;  856,000;    0,000; 0,00000
 318,13;  696,000;  696,000;    0,000; 0,00000
 318,15;  149,000;  149,000;    0,000; 0,00000
 318,17; -314,000; -314,000;    0,000; 0,00000
 318,19;   26,000;   26,000;    0,000; 0,00000
 318,21;  -78,000;  -78,000;    0,000; 0,00000
 318,23;  -88,000;  -88,000;    0,000; 0,00000
 318,25;   32,000;   32,000;    0,000; 0,00000
 318,27;  421,000;  421,000;    0,000; 0,00000
 318,29;   77,000;   77,000;    0,000; 0,00000
 318,30;   -5,000;   -5,000;    0,000; 0,00000
 318,32;  -58,000;  -58,000;    0,000; 0,00000
 318,34; -276,000; -276,000;    0,000; 0,00000
 318,36;  758,000;  758,000;    0,000; 0,00000
 318,38; -273,000; -273,000;    0,000; 0,00000
 318,40;  167,000;  167,000;    0,000; 0,00000
 318,42;  367,000;  367,000;    0,000; 0,00000
 318,44;    0,000;    0,000;    0,000; 0,00000
 318,46;  -33,000;  -33,000;    0,000; 0,00000
 318,48; -527,000; -527,000;    0,000; 0,00000
 318,50;   28,000;   28,000;    0,000; 0,00000
