 - gul_abs.txt	 - gul_abs.txt	
200.0	0.0004	
203.3	0.0003	
206.7	0.0004	
210.0	0.0003	
213.3	0.0003	
216.7	0.0004	
220.0	0.0004	
223.3	0.0004	
226.7	0.0004	
230.0	0.0006	
233.3	0.0006	
236.7	0.0010	
240.0	0.0017	
243.3	0.0018	
246.7	0.0012	
250.0	0.0006	
253.3	0.0005	
256.7	0.0004	
260.0	0.0004	
263.3	0.0004	
266.7	0.0004	
270.0	0.0004	
273.3	0.0004	
276.7	0.0004	
280.0	0.0004	
283.3	0.0004	
286.7	0.0007	
290.0	0.0006	
293.3	0.0004	
296.7	0.0004	
300.0	0.0004	
303.3	0.0004	
306.7	0.0005	
310.0	0.0004	
313.3	0.0004	
316.7	0.0005	
320.0	0.0005	
323.3	0.0005	
326.7	0.0005	
330.0	0.0005	
333.3	0.0005	
336.7	0.0005	
340.0	0.0005	
343.3	0.0005	
346.7	0.0005	
350.0	0.0005	
353.3	0.0006	
356.7	0.0006	
360.0	0.0006	
363.3	0.0007	
366.7	0.0007	
370.0	0.0007	
373.3	0.0008	
376.7	0.0008	
380.0	0.0008	
383.3	0.0009	
386.7	0.0009	
390.0	0.0010	
393.3	0.0010	
396.7	0.0011	
400.0	0.0013	
403.3	0.0015	
406.7	0.0018	
410.0	0.0021	
413.3	0.0023	
416.7	0.0027	
420.0	0.0030	
423.3	0.0033	
426.7	0.0037	
430.0	0.0037	
433.3	0.0037	
436.7	0.0038	
440.0	0.0039	
443.3	0.0043	
446.7	0.0048	
450.0	0.0056	
453.3	0.0073	
456.7	0.0103	
460.0	0.0155	
463.3	0.0239	
466.7	0.0368	
470.0	0.0550	
473.3	0.0805	
476.7	0.1154	
480.0	0.1581	
483.3	0.2067	
486.7	0.2594	
490.0	0.3112	
493.3	0.3629	
496.7	0.4149	
500.0	0.4661	
503.3	0.5175	
506.7	0.5695	
510.0	0.6202	
513.3	0.6703	
516.7	0.7222	
520.0	0.7718	
523.3	0.8173	
526.7	0.8631	
530.0	0.9078	
533.3	0.9490	
536.7	0.9828	
540.0	1.0000	
543.3	0.9991	
546.7	0.9802	
550.0	0.9508	
553.3	0.9173	
556.7	0.8837	
560.0	0.8540	
563.3	0.8252	
566.7	0.8008	
570.0	0.7842	
573.3	0.7793	
576.7	0.7914	
580.0	0.8133	
583.3	0.8253	
586.7	0.7844	
590.0	0.6619	
593.3	0.4806	
596.7	0.2924	
600.0	0.1465	
603.3	0.0604	
606.7	0.0232	
610.0	0.0108	
613.3	0.0056	
616.7	0.0032	
620.0	0.0023	
623.3	0.0019	
626.7	0.0017	
630.0	0.0016	
633.3	0.0015	
636.7	0.0014	
640.0	0.0013	
643.3	0.0012	
646.7	0.0011	
650.0	0.0010	
653.3	0.0009	
656.7	0.0009	
660.0	0.0008	
663.3	0.0008	
666.7	0.0008	
670.0	0.0008	
673.3	0.0007	
676.7	0.0007	
680.0	0.0007	
683.3	0.0007	
686.7	0.0008	
690.0	0.0006	
693.3	0.0006	
696.7	0.0006	
700.0	0.0006	
