 - gul_em.txt	 - gul_em.txt	
400.0	0.0001	
403.0	0.0001	
406.0	0.0001	
409.0	0.0002	
412.0	0.0002	
415.0	0.0002	
418.0	0.0002	
421.0	0.0003	
424.0	0.0003	
427.0	0.0005	
430.0	0.0006	
433.0	0.0009	
436.0	0.0013	
439.0	0.0017	
442.0	0.0021	
445.0	0.0025	
448.0	0.0027	
451.0	0.0027	
454.0	0.0026	
457.0	0.0024	
460.0	0.0023	
463.0	0.0021	
466.0	0.0018	
469.0	0.0014	
472.0	0.0010	
475.0	0.0007	
478.0	0.0005	
481.0	0.0004	
484.0	0.0003	
487.0	0.0003	
490.0	0.0003	
493.0	0.0003	
496.0	0.0003	
499.0	0.0003	
502.0	0.0003	
505.0	0.0004	
508.0	0.0004	
511.0	0.0005	
514.0	0.0006	
517.0	0.0007	
520.0	0.0009	
523.0	0.0012	
526.0	0.0016	
529.0	0.0020	
532.0	0.0027	
535.0	0.0035	
538.0	0.0046	
541.0	0.0060	
544.0	0.0077	
547.0	0.0099	
550.0	0.0127	
553.0	0.0161	
556.0	0.0204	
559.0	0.0260	
562.0	0.0330	
565.0	0.0419	
568.0	0.0531	
571.0	0.0669	
574.0	0.0838	
577.0	0.1038	
580.0	0.1274	
583.0	0.1552	
586.0	0.1876	
589.0	0.2257	
592.0	0.2714	
595.0	0.3279	
598.0	0.3978	
601.0	0.4865	
604.0	0.5930	
607.0	0.7146	
610.0	0.8388	
613.0	0.9437	
616.0	1.0000	
619.0	0.9954	
622.0	0.9181	
625.0	0.7936	
628.0	0.6525	
631.0	0.5278	
634.0	0.4181	
637.0	0.3264	
640.0	0.2454	
643.0	0.1769	
646.0	0.1228	
649.0	0.0836	
652.0	0.0568	
655.0	0.0386	
658.0	0.0262	
661.0	0.0179	
664.0	0.0123	
667.0	0.0088	
670.0	0.0064	
673.0	0.0047	
676.0	0.0036	
679.0	0.0028	
682.0	0.0022	
685.0	0.0018	
688.0	0.0015	
691.0	0.0012	
694.0	0.0010	
697.0	0.0009	
700.0	0.0007	
