 - ir_em.txt	 - ir_em.txt	
700.0	0.0004	
703.3	0.0004	
706.7	0.0004	
710.0	0.0004	
713.3	0.0004	
716.7	0.0004	
720.0	0.0004	
723.3	0.0004	
726.7	0.0004	
730.0	0.0004	
733.3	0.0004	
736.7	0.0004	
740.0	0.0004	
743.3	0.0004	
746.7	0.0004	
750.0	0.0004	
753.3	0.0004	
756.7	0.0004	
760.0	0.0004	
763.3	0.0004	
766.7	0.0004	
770.0	0.0005	
773.3	0.0005	
776.7	0.0005	
780.0	0.0005	
783.3	0.0005	
786.7	0.0005	
790.0	0.0005	
793.3	0.0005	
796.7	0.0005	
800.0	0.0005	
803.3	0.0006	
806.7	0.0006	
810.0	0.0006	
813.3	0.0006	
816.7	0.0007	
820.0	0.0007	
823.3	0.0008	
826.7	0.0008	
830.0	0.0009	
833.3	0.0010	
836.7	0.0011	
840.0	0.0012	
843.3	0.0013	
846.7	0.0015	
850.0	0.0017	
853.3	0.0019	
856.7	0.0022	
860.0	0.0026	
863.3	0.0031	
866.7	0.0036	
870.0	0.0043	
873.3	0.0052	
876.7	0.0062	
880.0	0.0076	
883.3	0.0092	
886.7	0.0114	
890.0	0.0140	
893.3	0.0173	
896.7	0.0216	
900.0	0.0270	
903.3	0.0341	
906.7	0.0442	
910.0	0.0576	
913.3	0.0761	
916.7	0.1020	
920.0	0.1350	
923.3	0.1766	
926.7	0.2292	
930.0	0.2904	
933.3	0.3622	
936.7	0.4474	
940.0	0.5393	
943.3	0.6374	
946.7	0.7383	
950.0	0.8294	
953.3	0.9067	
956.7	0.9653	
960.0	0.9964	
963.3	1.0000	
966.7	0.9748	
970.0	0.9264	
973.3	0.8589	
976.7	0.7761	
980.0	0.6894	
983.3	0.6013	
986.7	0.5136	
990.0	0.4346	
993.3	0.3636	
996.7	0.2996	
1000.0	0.2459	
1003.3	0.2000	
1006.7	0.1607	
1010.0	0.1295	
1013.3	0.1039	
1016.7	0.0824	
1020.0	0.0657	
1023.3	0.0523	
1026.7	0.0412	
1030.0	0.0326	
1033.3	0.0259	
1036.7	0.0203	
1040.0	0.0160	
1043.3	0.0127	
1046.7	0.0100	
1050.0	0.0079	
1053.3	0.0063	
1056.7	0.0050	
1060.0	0.0041	
1063.3	0.0033	
1066.7	0.0027	
1070.0	0.0023	
1073.3	0.0019	
1076.7	0.0017	
1080.0	0.0015	
1083.3	0.0013	
1086.7	0.0011	
1090.0	0.0010	
1093.3	0.0010	
1096.7	0.0009	
1100.0	0.0008	
1103.3	0.0008	
1106.7	0.0007	
1110.0	0.0007	
1113.3	0.0007	
1116.7	0.0007	
1120.0	0.0006	
1123.3	0.0006	
1126.7	0.0006	
1130.0	0.0006	
1133.3	0.0006	
1136.7	0.0006	
1140.0	0.0006	
1143.3	0.0006	
1146.7	0.0006	
1150.0	0.0006	
1153.3	0.0006	
1156.7	0.0006	
1160.0	0.0006	
1163.3	0.0006	
1166.7	0.0006	
1170.0	0.0006	
1173.3	0.0006	
1176.7	0.0006	
1180.0	0.0006	
1183.3	0.0006	
1186.7	0.0006	
1190.0	0.0006	
1193.3	0.0006	
1196.7	0.0006	
1200.0	0.0006	
